"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"39","Isaac Yiadom (SF)","2","3","0","4","0","0","0","0","1","11.3","11.3","0.1%"
"40","Jalen Thompson (ARI)","5","3","0","1","0","0","0","0","1","11.3","11.3","16.3%"
"41","Tre'Davious White (LAR)","3","0","0","1","1","0","0","0","1","11.0","11.0","4.6%"
"42","Taron Johnson (BUF)","4","1","0","0","0","1","0","0","1","10.8","10.8","30.4%"
"43","Denzel Ward (CLE)","3","1","0","2","0","0","0","0","1","10.8","10.8","4.9%"
"44","Marcus Peters (FA)","5","1","0","0","0","0","0","0","1","10.8","10.8","1.1%"
"45","Jerry Jacobs (LAR)","7","0","0","0","0","0","0","0","1","10.5","10.5","12.5%"
"46","Benjamin St-Juste (WAS)","5","2","0","1","0","0","0","0","1","10.5","10.5","5.8%"
"47","Michael Jackson Sr. (SEA)","6","0","0","1","0","0","0","0","1","10.5","10.5","0.9%"
"48","Dee Delaney (BUF)","2","1","0","1","1","0","0","0","1","10.3","10.3","0.0%"
"49","Kamren Curl (LAR)","4","2","0","0","0","0","0","0","1","10.0","10.0","29.2%"
"50","Kader Kohou (MIA)","1","2","0","2","0","0","1","0","1","10.0","10.0","2.2%"
"51","Trent McDuffie (KC)","3","2","0","0","0","1","0","0","1","10.0","10.0","31.4%"
"52","Eric Murray (HOU)","3","2","0","0","0","1","0","0","1","10.0","10.0","0.4%"
"53","Julian Love (SEA)","4","1","0","2","0","0","0","0","1","9.8","9.8","32.4%"
"54","K'Von Wallace (SEA)","4","3","0","1","0","0","0","0","1","9.8","9.8","1.5%"
"55","Nate Hobbs (LV)","3","3","0","2","0","0","0","0","1","9.8","9.8","32.3%"
"56","Marshon Lattimore (NO)","4","3","0","1","0","0","0","0","1","9.8","9.8","5.7%"
"57","Derion Kendrick (LAR)","3","3","0","2","0","0","0","0","1","9.8","9.8","0.5%"
"58","Xavier McKinney (GB)","6","1","0","0","0","0","0","0","1","9.8","9.8","35.2%"
"59","Justin Bethel (FA)","3","0","0","0","0","0","0","0","1","9.5","9.5","0.0%"
"60","Jaylon Jones (CHI)","4","1","0","0","0","0","0","0","1","9.3","9.3","0.0%"
"61","Zyon McCollum (TB)","4","2","0","1","0","0","0","0","1","9.0","9.0","4.9%"
"62","Darrick Forrest (WAS)","5","2","0","0","0","0","0","0","1","9.0","9.0","9.0%"
"63","Tracy Walker III (FA)","4","2","0","1","0","0","0","0","1","9.0","9.0","1.5%"
"64","DeShon Elliott (PIT)","3","2","0","2","0","0","0","0","1","9.0","9.0","7.4%"
"65","Derwin James Jr. (LAC)","5","2","0","0","0","0","0","0","1","9.0","9.0","75.2%"
"66","Kareem Jackson (FA)","4","4","0","0","0","0","0","0","1","9.0","9.0","0.6%"
"67","Charvarius Ward (SF)","4","0","0","2","0","0","0","0","1","9.0","9.0","29.5%"
"68","Geno Stone (CIN)","5","2","0","0","0","0","0","0","1","9.0","9.0","3.3%"
"69","Micah Hyde (FA)","1","1","0","1","1","0","0","0","1","8.8","8.8","1.1%"
"70","Harrison Smith (MIN)","2","2","0","0","0","1","0","0","1","8.5","8.5","17.5%"
"71","Martin Emerson Jr. (CLE)","3","0","0","1","0","0","0","0","1","8.5","8.5","2.4%"
"72","Ifeatu Melifonwu (DET)","3","0","0","1","0","0","0","0","1","8.5","8.5","5.2%"
"73","Jayron Kearse (FA)","5","1","0","0","0","0","0","0","1","8.3","8.3","0.9%"
"74","Andre Cisco (JAC)","4","3","0","0","0","0","0","0","1","8.3","8.3","3.1%"
"75","Christian Izien (TB)","5","1","0","0","0","0","0","0","1","8.3","8.3","0.6%"
"76","Daryl Worley (BAL)","4","3","0","0","0","0","0","0","1","8.3","8.3","0.0%"
"77","Darnell Savage Jr. (JAC)","5","1","0","0","0","0","0","0","1","8.3","8.3","4.5%"
"78","Jaquan Brisker (CHI)","4","3","0","0","0","0","0","0","1","8.3","8.3","46.3%"
"79","Cam Taylor-Britt (CIN)","5","1","0","0","0","0","0","0","1","8.3","8.3","14.7%"
"80","DaRon Bland (DAL)","5","1","0","0","0","0","0","0","1","8.3","8.3","41.2%"
"81","Talanoa Hufanga (SF)","1","0","0","1","1","0","0","0","1","8.0","8.0","13.1%"
"82","Donovan Wilson (DAL)","3","1","0","0","0","0","0","0","1","7.8","7.8","21.3%"
"83","A.J. Terrell (ATL)","3","1","0","0","0","0","0","0","1","7.8","7.8","3.8%"
"84","Corey Ballentine (GB)","4","0","0","1","0","0","0","0","1","7.5","7.5","0.6%"
"85","Artie Burns (SEA)","3","2","0","1","0","0","0","0","1","7.5","7.5","0.2%"
"86","Tre Flowers (JAC)","4","0","0","1","0","0","0","0","1","7.5","7.5","0.0%"
"87","Steven Nelson (FA)","4","0","0","1","0","0","0","0","1","7.5","7.5","0.2%"
"88","Quindell Johnson (CHI)","0","1","0","1","1","0","0","0","1","7.3","7.3","0.0%"
"89","Mike Edwards (BUF)","0","1","0","1","1","0","0","0","1","7.3","7.3","3.4%"
"90","Lonnie Johnson Jr. (HOU)","0","1","0","1","1","0","0","0","1","7.3","7.3","0.1%"
"91","Emmanuel Forbes Jr. (WAS)","3","0","0","0","0","0","0","0","1","7.0","7.0","2.5%"
"92","Christian Benford (BUF)","2","2","0","0","0","0","0","0","1","7.0","7.0","12.8%"
"93","Jaylon Johnson (CHI)","2","0","0","1","0","0","0","0","1","7.0","7.0","4.2%"
"94","Donte Jackson (PIT)","3","0","0","0","0","0","0","0","1","7.0","7.0","3.2%"
"95","Elijah Molden (TEN)","2","2","0","0","0","0","0","0","1","7.0","7.0","3.1%"
"96","Tashaun Gipson Sr. (FA)","4","1","0","0","0","0","0","0","1","6.8","6.8","0.1%"
"97","Marco Wilson (NE)","2","1","0","2","0","0","0","0","1","6.8","6.8","0.2%"
"98","Pat Surtain II (DEN)","4","1","0","0","0","0","0","0","1","6.8","6.8","11.0%"
"99","Myles Bryant (HOU)","3","1","0","1","0","0","0","0","1","6.8","6.8","2.6%"
"100","Russ Yeast (LAR)","3","3","0","0","0","0","0","0","1","6.8","6.8","2.5%"
"101","Dallis Flowers (IND)","4","1","0","0","0","0","0","0","1","6.8","6.8","2.9%"
"102","Mekhi Blackmon (MIN)","4","1","0","0","0","0","0","0","1","6.8","6.8","0.9%"
"103","Rodney Thomas II (IND)","4","1","0","0","0","0","0","0","1","6.8","6.8","0.8%"
"104","Deommodore Lenoir (SF)","4","1","0","0","0","0","0","0","1","6.8","6.8","13.0%"
"105","Damarri Mathis (DEN)","4","1","0","0","0","0","0","0","1","6.8","6.8","1.1%"
"106","Ahkello Witherspoon (FA)","0","0","0","1","1","0","0","0","1","6.5","6.5","0.1%"
"107","Jourdan Lewis (DAL)","2","1","0","0","0","0","0","0","1","6.3","6.3","1.7%"
"108","Joshua Metellus (MIN)","2","4","0","0","0","0","0","0","1","6.0","6.0","41.5%"
"109","Malik Hooker (DAL)","3","2","0","0","0","0","0","0","1","6.0","6.0","3.2%"
"110","Tyrann Mathieu (NO)","2","2","0","1","0","0","0","0","1","6.0","6.0","9.4%"
"111","Keisean Nixon (GB)","3","0","0","1","0","0","0","0","1","6.0","6.0","23.8%"
"112","Jason Pinnock (NYG)","3","2","0","0","0","0","0","0","1","6.0","6.0","14.8%"
"113","Grayland Arnold (PIT)","3","2","0","0","0","0","0","0","1","6.0","6.0","0.1%"
"114","Kenny Moore II (IND)","2","2","0","1","0","0","0","0","1","6.0","6.0","27.9%"
"115","Jordan Poyer (MIA)","4","0","0","0","0","0","0","0","1","6.0","6.0","24.3%"
"116","Josh Jobe (PHI)","4","0","0","0","0","0","0","0","1","6.0","6.0","0.0%"
"117","Michael Carter II (NYJ)","3","0","0","1","0","0","0","0","1","6.0","6.0","0.0%"
"118","Tre Hawkins III (NYG)","2","4","0","0","0","0","0","0","1","6.0","6.0","0.4%"
"119","D.J. Reed Jr. (NYJ)","4","0","0","0","0","0","0","0","1","6.0","6.0","9.7%"
"120","Richie Grant (ATL)","2","4","0","0","0","0","0","0","1","6.0","6.0","12.0%"
"121","James Bradberry IV (PHI)","1","0","0","0","0","0","1","0","1","5.5","5.5","2.0%"
"122","Darnay Holmes (NYG)","1","0","0","1","0","0","0","0","1","5.5","5.5","0.1%"
"123","Christian Gonzalez (NE)","2","1","0","1","0","0","0","0","1","5.3","5.3","13.5%"
"124","Bryan Cook (KC)","3","1","0","0","0","0","0","0","1","5.3","5.3","3.0%"
"125","Jeremy Chinn (WAS)","2","3","0","0","0","0","0","0","1","5.3","5.3","6.8%"
"126","Stephon Gilmore (FA)","2","1","0","1","0","0","0","0","1","5.3","5.3","1.3%"
"127","Dee Alford (ATL)","2","1","0","1","0","0","0","0","1","5.3","5.3","1.1%"
"128","Tre'von Moehrig (LV)","3","1","0","0","0","0","0","0","1","5.3","5.3","4.9%"
"129","Adoree' Jackson (FA)","2","1","0","1","0","0","0","0","1","5.3","5.3","1.0%"
"130","Jordan Fuller (CAR)","3","1","0","0","0","0","0","0","1","5.3","5.3","9.0%"
"131","Isaiah Oliver (NYJ)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.2%"
"132","Troy Hill (CAR)","2","2","0","0","0","0","0","0","1","4.5","4.5","1.8%"
"133","Greg Stroman Jr. (CHI)","2","2","0","0","0","0","0","0","1","4.5","4.5","0.5%"
"134","Deonte Banks (NYG)","2","0","0","1","0","0","0","0","1","4.5","4.5","12.7%"
"135","Joshua Williams (KC)","2","0","0","1","0","0","0","0","1","4.5","4.5","1.2%"
"136","Xavien Howard (FA)","3","0","0","0","0","0","0","0","1","4.5","4.5","1.3%"
"137","Ja'Sir Taylor (LAC)","2","0","0","1","0","0","0","0","1","4.5","4.5","0.6%"
"138","Rasul Douglas (BUF)","2","0","0","1","0","0","0","0","1","4.5","4.5","7.4%"
"139","Jamel Dean (TB)","3","0","0","0","0","0","0","0","1","4.5","4.5","12.0%"
"140","Ronald Darby (JAC)","2","0","0","1","0","0","0","0","1","4.5","4.5","1.8%"
"141","Nick Scott (CAR)","3","0","0","0","0","0","0","0","1","4.5","4.5","1.5%"
"142","Quandre Diggs (FA)","3","0","0","0","0","0","0","0","1","4.5","4.5","2.6%"
