"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"347","Cameron Goode (MIA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"348","Baylon Spector (BUF)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
"349","Jeff Gunter (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"350","Ochaun Mathis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"351","Darien Butler (LV)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"352","DeAngelo Malone (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"353","Zach VanValkenburg (LAR)","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"354","Chandler Wooten (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"355","J.J. Russell (TB)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"356","Arron Mosby (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"357","Victor Dimukeje (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"358","Buddy Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"359","Chris Rumph II (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"360","Pat Jones II (MIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"361","Garret Wallow (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"362","Nick Niemann (LAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","3.1%"
