id,uid,guid,sport,firstName,lastName
2512477,s:20~l:28~a:2512477,198a6ffe-8074-a218-f7f0-d4f94aff5fd0,football,Laken,Tomlinson
2514122,s:20~l:28~a:2514122,7a57177f-b688-fe76-f753-e58a9d946a82,football,Mitch,Morse
2514206,s:20~l:28~a:2514206,a8a6e915-ae11-a27a-f8f2-51d4fc70a109,football,Blake,Bell
2514270,s:20~l:28~a:2514270,e03a085b-190b-79ad-984a-978351e9b733,football,Jordan,Hicks
2515270,s:20~l:28~a:2515270,5fa648ee-a7db-9602-c0db-9e1d36c25a01,football,Michael,Burton
2519038,s:20~l:28~a:2519038,4e563fb5-9ede-5e04-e6e4-ba0c1ef2d3ce,football,Dean,Marlowe
2525933,s:20~l:28~a:2525933,7c60975d-999c-e1e7-17e8-1e6a7d5049ea,football,Troy,Hill
2531358,s:20~l:28~a:2531358,0e3d6af0-78d2-bd29-9954-7eb2e0a165e7,football,Chris,Manhertz
2565969,s:20~l:28~a:2565969,a4265a18-26ce-6704-eaf3-5440d25e40b9,football,Taylor,Heinicke
2566034,s:20~l:28~a:2566034,244dd44a-68e8-055b-beb1-d35de0900b7f,football,DeAndre,Houston-Carson
2566045,s:20~l:28~a:2566045,0e8d7aa0-7e61-354e-9a36-6ef5839e69e2,football,Luke,Rhodes
2572841,s:20~l:28~a:2572841,30b89f8c-2d43-e695-d030-b778b8b9c2fa,football,James,Bradberry
2573401,s:20~l:28~a:2573401,93f414a4-0330-7851-b0e0-752bbd975157,football,Tyler,Higbee
2574056,s:20~l:28~a:2574056,c50eb210-156c-8797-f486-3ff7c1655b26,football,Kevin,Byard
2574576,s:20~l:28~a:2574576,0822576e-a010-420a-c92b-c0a4cad88072,football,C.J.,Uzomah
2574582,s:20~l:28~a:2574582,9c8bf5b9-2ac0-0af7-ff9b-7085885d9d41,football,Angelo,Blackson
2574808,s:20~l:28~a:2574808,abea64c1-4169-f396-0eae-fc3e93afeee6,football,Robbie,Chosen
2574891,s:20~l:28~a:2574891,2e1e927f-16fc-7f54-833a-6d87de8e6bee,football,Roy,Robertson-Harris
2575164,s:20~l:28~a:2575164,4b4a6bc9-c613-de7c-008b-d738096642e3,football,Miles,Killebrew
2575453,s:20~l:28~a:2575453,2691395d-47b7-f565-0cf8-52ce1f68e21a,football,Rakeem,Nunez-Roches
2575606,s:20~l:28~a:2575606,ecacd8d2-5236-4959-6c67-c39494b0d794,football,Bobby,McCain
2575788,s:20~l:28~a:2575788,220ae399-18c3-8433-1522-a7edaa5985b7,football,Zach,Wood
2575907,s:20~l:28~a:2575907,358bb7d9-71c5-a3d4-81ec-d89d1054b3cf,football,Joe,Cardona
2576242,s:20~l:28~a:2576242,340f99f7-37d6-d8a0-ed1d-02b82bdef3da,football,Frank,Clark
2576336,s:20~l:28~a:2576336,8993c23a-a998-ad6b-19aa-0b50bcaadc73,football,Ameer,Abdullah
2576414,s:20~l:28~a:2576414,db6d8beb-f361-7e81-0078-b10f1f6d4e69,football,Raheem,Mostert
2576434,s:20~l:28~a:2576434,0f179bd8-b6ce-bd97-9257-48c7b6f8fe6a,football,Melvin,Gordon III
2576492,s:20~l:28~a:2576492,944cb546-9bc0-6532-93be-6ba6b4ae7e8a,football,Grady,Jarrett
2576508,s:20~l:28~a:2576508,2ce322b5-d182-75bf-a464-918592799665,football,DeShawn,Williams
2576581,s:20~l:28~a:2576581,acfcb402-38f7-96c4-becc-4a56fb14b408,football,Chris,Moore
2576623,s:20~l:28~a:2576623,662c0163-c988-b5d7-53ec-8ae7206dc8e0,football,DeVante,Parker
2576702,s:20~l:28~a:2576702,2a8ceb5c-9135-49fc-7db3-a1584c0cc817,football,Bud,Dupree
2576716,s:20~l:28~a:2576716,cef1f400-0f70-752b-c3d4-ea4cc9eb8171,football,Jamison,Crowder
2576854,s:20~l:28~a:2576854,8a1cb7b3-e2dc-6889-e2b9-be9f9c8c77bd,football,Stephen,Anderson
2576925,s:20~l:28~a:2576925,d8843331-59d8-249e-7862-3b75104db19b,football,Darren,Waller
2576980,s:20~l:28~a:2576980,33be1f4a-d812-75b9-7b7c-5319d2a7113a,football,Marcus,Mariota
2577078,s:20~l:28~a:2577078,bfb6239d-b438-def5-dc5c-9c35fe25aba3,football,Quinton,Jefferson
2577134,s:20~l:28~a:2577134,5825bc32-d820-60af-c308-36c9c580ac1d,football,Ty,Montgomery II
2577185,s:20~l:28~a:2577185,b241f27d-43ed-6abb-677a-32ffdbf46f2c,football,Jake,Brendel
2577327,s:20~l:28~a:2577327,a8cf5c88-bce4-87e9-fbba-dadbfbb19981,football,Tyler,Lockett
2577367,s:20~l:28~a:2577367,c5b84d5b-5868-d04a-24db-9f1e1036e73f,football,Connor,McGovern
2577417,s:20~l:28~a:2577417,5f09781b-6b0b-7325-049b-a91e60d794e6,football,Dak,Prescott
2577446,s:20~l:28~a:2577446,275d514e-7d1d-e60d-ab2e-21b3b9abf394,football,Preston,Smith
2577466,s:20~l:28~a:2577466,ee9ad8d7-97e4-24e7-4067-37ce7646bfd0,football,Jordan,Phillips
2577553,s:20~l:28~a:2577553,11e5c1fd-e85d-9d58-130d-028fefe47cd6,football,Quandre,Diggs
2577619,s:20~l:28~a:2577619,6f52f3d6-00d2-aa58-0293-591340ffbd8b,football,Riley,Dixon
2577637,s:20~l:28~a:2577637,695fb1a4-3fca-cd05-f2e1-e650dd1e94d8,football,Sam,Eguavoen
2577667,s:20~l:28~a:2577667,7b2c837b-aae2-a5a7-0147-11338cf13e15,football,Damiere,Byrd
2577757,s:20~l:28~a:2577757,6a3c21b0-88f0-900c-0b8c-0eb320762f49,football,T.Y.,McGill
2577773,s:20~l:28~a:2577773,cc4a49c2-036e-c616-afe2-52ca31d2406d,football,Joe,Thuney
2578378,s:20~l:28~a:2578378,48a6516d-a31d-cec1-2773-9ffa92432b2d,football,Marcus,Peters
2578475,s:20~l:28~a:2578475,2a6694a5-680c-71a9-c843-8f83cd1ebb04,football,Ryan,Kelly
2578529,s:20~l:28~a:2578529,21cf8ad8-6819-51f0-3e67-0bc83609adb0,football,David,Andrews
2578570,s:20~l:28~a:2578570,efcb42e5-0bef-62d1-b58b-dbc17fde2479,football,Jacoby,Brissett
2579604,s:20~l:28~a:2579604,360b1113-1755-897f-28aa-39604838ad30,football,Phillip,Dorsett
2579621,s:20~l:28~a:2579621,e64368d5-89ff-8bab-8182-6d086fd779d6,football,Denzel,Perryman
2579840,s:20~l:28~a:2579840,25f00a10-f1c3-8fc5-1eb0-a37893164591,football,Matthias,Farley
2580216,s:20~l:28~a:2580216,c6c28442-0421-797f-ee01-04d2894e7c68,football,DeAndre,Carter
2581273,s:20~l:28~a:2581273,3143a913-bb0c-7b87-a1f0-444f6772a504,football,Wes,Schweitzer
2582132,s:20~l:28~a:2582132,2ccb99c4-aa4d-7694-5ad8-21c06e9ae1c8,football,Adrian,Amos
2582147,s:20~l:28~a:2582147,1f26df23-eb7f-8e1f-0b09-73301fd7fc10,football,Donovan,Smith
2583951,s:20~l:28~a:2583951,d3f85eac-3bf5-bc09-eee0-2eb02f3425f3,football,George,Fant
2612151,s:20~l:28~a:2612151,09bb1ac0-bc1d-dd2c-1148-c2bbb4e0f537,football,Alex,Singleton
2969860,s:20~l:28~a:2969860,bd5159e6-25b0-ae19-a711-2a6a08edbb71,football,Justin,Simmons
2969920,s:20~l:28~a:2969920,779c480f-d45b-73a3-2b7d-ed36501ee100,football,Ronald,Darby
2969921,s:20~l:28~a:2969921,1fcf1738-6496-3ddb-9196-9f38d7f000cb,football,Mario,Edwards Jr.
2969939,s:20~l:28~a:2969939,57af2581-cec9-d5a3-2afe-7a719925f78b,football,Jameis,Winston
2969961,s:20~l:28~a:2969961,c4263718-6be9-f66e-f50e-93c290c30802,football,Rayshawn,Jenkins
2970204,s:20~l:28~a:2970204,5fdfe164-b9ca-6d66-a5ee-c92637437d4d,football,Sheldon,Rankins
2970625,s:20~l:28~a:2970625,9193298c-6312-0b35-9b8b-fbd8eb4ceb2b,football,Justin,Hardee
2970716,s:20~l:28~a:2970716,c6cb4633-7945-434b-7d56-2e79dad0267b,football,Eric,Murray
2971027,s:20~l:28~a:2971027,b1866d7f-4e50-a6ab-f44e-5b4644d01838,football,Jonathan,Jones
2971048,s:20~l:28~a:2971048,5dfb1d58-dfff-50ec-01d6-0d6c852193af,football,D.J.,Humphries
2971275,s:20~l:28~a:2971275,5a1a8f38-1683-80d6-32a0-ee8637300618,football,Arik,Armstead
2971281,s:20~l:28~a:2971281,a0290341-e4eb-aad8-ba29-7bceba939db1,football,Pharaoh,Brown
2971282,s:20~l:28~a:2971282,556d9b53-399e-c09a-bfc2-af1c8279ded9,football,DeForest,Buckner
2971432,s:20~l:28~a:2971432,639fe97c-a5b1-1d3a-3bfe-264de070fc40,football,Markus,Golden
2971498,s:20~l:28~a:2971498,d42859b2-3d5b-7c0a-22f7-79a5635dd1c4,football,Adam,Gotsis
2971573,s:20~l:28~a:2971573,aeb0f227-f365-e95c-94dd-55325ce5edbf,football,Ka'imi,Fairbairn
2971586,s:20~l:28~a:2971586,9f711b54-b458-0459-39fe-0d2c04cc2850,football,Fabian,Moreau
2971603,s:20~l:28~a:2971603,b319ab04-bc32-63a5-a513-77ca5d72ca50,football,Kevon,Seymour
2971618,s:20~l:28~a:2971618,8be61cb9-4548-edd6-badb-7ba8c90818d5,football,Nelson,Agholor
2971622,s:20~l:28~a:2971622,4ea23eac-ad50-dfe7-6864-0cf74b7cf6b1,football,Leonard,Williams
2971725,s:20~l:28~a:2971725,bf625d2c-eb6c-ae8e-db80-12d8bc4af2a0,football,Hassan,Ridgeway
2971816,s:20~l:28~a:2971816,5678de5f-6d64-7492-7081-fe92416493f3,football,Nick,Vigil
2972144,s:20~l:28~a:2972144,5ff01669-fd66-4202-cc52-af7e07157ab4,football,Michael,Pierce
2972236,s:20~l:28~a:2972236,074ee98c-babc-2a77-e9b9-6688a89761d8,football,Nathan,Peterman
2972342,s:20~l:28~a:2972342,75df4610-c1d0-a2c5-d76e-d0b751fbf8c1,football,Adam,Butler
2972400,s:20~l:28~a:2972400,8eb1587c-4df5-1e5d-0f16-6f196dd842d1,football,David,Mayo
2972515,s:20~l:28~a:2972515,f1706f6e-2a98-a598-6308-e1f7b278edf7,football,Cooper,Rush
2973405,s:20~l:28~a:2973405,a8205d5f-8f7a-4523-11e3-14a9f72b85d5,football,Kalif,Raymond
2974344,s:20~l:28~a:2974344,2040093d-aa8b-dd42-6d08-b0eeb27c39be,football,Joe,Jones
2974348,s:20~l:28~a:2974348,1771f92f-43b5-5e6e-92b7-0908d2a762a4,football,Dean,Lowry
2975417,s:20~l:28~a:2975417,bfc60c09-7343-7ca5-9b53-bd9f2b6a3945,football,Patrick,Ricard
2975674,s:20~l:28~a:2975674,f8f7e2e9-dcf2-eed6-43bd-3270116d80cc,football,Robert,Tonyan
2975863,s:20~l:28~a:2975863,39beea73-e4dc-4502-9cd1-330f7e6be75d,football,Eric,Saubert
2976099,s:20~l:28~a:2976099,0538029c-d91e-c741-f667-023a57e5d2b4,football,Damontae,Kazee
2976194,s:20~l:28~a:2976194,8c967126-89e5-187e-c073-c814586924c6,football,Sheldon,Day
2976212,s:20~l:28~a:2976212,d6ba7023-458c-f59a-4af2-638770067518,football,Stefon,Diggs
2976213,s:20~l:28~a:2976213,db942919-d7ca-378a-9872-36c133d0e8da,football,Michael,Dunn
2976249,s:20~l:28~a:2976249,12307355-5305-0372-6a3e-a4ae108b68c3,football,Tyler,Matakevich
2976316,s:20~l:28~a:2976316,502f38a3-29d0-b097-d49d-fad6181a3de5,football,Michael,Thomas
2976499,s:20~l:28~a:2976499,0ef6cea0-ddbf-4e83-4495-e1b0bef18107,football,Amari,Cooper
